MFG_DAY,TFT_CHIP_ID,LOT_ID,TFT_GLASS_ID,CF_GLASS_ID,PRODUCT_CODE,MODULE_MODEL_NO,MULTI_DEFECT_CODE,MULTI_JND,PIC_ID,TEST_TOOL_ID,X,Y,GRADE
4/10/2022,D3243JB,612D32,612D3243J,D85Q142VTQ,T850MVR05,T850MVR05-1/K1,L128 Mura,2.4,612D3243JBZZ_20220410144553_0_L050P_resize.bmp,JI13,2550,193,P
4/11/2022,D28W7YB,6A2D28,6A2D28W7Y,D85Q142W83,T850MVR05,T850MVR05-1/K1,L128 Mura,2.6,6A2D28W7YBZZ_20220411161521_0_L050P_resize.bmp,JI13,2518,3726,P
4/11/2022,D3230UB,612D32,612D3230U,D85Q142V2T,T850MVR05,T850MVR05-1/K1,L128 Mura,2.6,612D3230UBZZ_20220411014452_0_L050P_resize.bmp,JI13,2455,1282,P
4/11/2022,D3232MB,612D32,612D3232M,D85Q133QBF,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,612D3232MBZZ_20220411020513_0_L050P_resize.bmp,JI13,2550,230,N
4/13/2022,D28B9NA,612D28,612D28B9N,D85Q142VV4,T850MVR05,T850MVR05-5/S0,L128 Mura,2.6,612D28B9NAZZ_20220413010108_0_L050P_resize.bmp,JI13,2527,2047,P
4/15/2022,D29B3DB,612D29,612D29B3D,D85Q133QDC,T850MVR05,T850MVR05-1/K1,L128 Mura,2.5,612D29B3DBZZ_20220415142020_0_L050P_resize.bmp,JI06,3401,205,P
4/15/2022,D32Q9MA,612D32,612D32Q9M,D85Q133QF0,T850MVR05,T850MVR05-1/K1,L128 Mura,2.7,612D32Q9MAZZ_20220415143123_0_L050P_resize.bmp,JI06,3415,1861,P
4/16/2022,D3380JB,6A2D33,6A2D3380J,D85Q133VKX,T850MVR05,T850MVR05-1/K1,L128 Mura,2.9,6A2D3380JBZZ_20220416210434_0_L050P_resize.bmp,JI13,2494,2526,N
4/18/2022,D28Z71A,612D28,612D28Z71,D85Q133KDM,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,612D28Z71AZZ_20220418203758_0_L050P_resize.bmp,JI13,2363,4126,N
4/19/2022,D32Q9MA,612D32,612D32Q9M,D85Q133QF0,T850MVR05,T850MVR05-1/K1,L128 Mura,2.7,612D32Q9MAZZ_20220419075454_0_L050P_resize.bmp,JI06,3415,1861,P
4/21/2022,D34B1HB,6A2D34,6A2D34B1H,D85Q142VLS,T850MVR05,T850MVR05-5/S0,L128 Mura,2.6,6A2D34B1HBZZ_20220421170716_0_L050P_resize.bmp,JI13,2352,2255,P
4/27/2022,D2895JA,612D28,612D2895J,D85Q133L51,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,612D2895JAZZ_20220427211652_0_L050P_resize.bmp,JI13,2342,3838,N
4/27/2022,D28A9HA,612D28,612D28A9H,D85Q133KW6,T850MVR05,T850MVR05-1/K1,L128 Mura,2.9,612D28A9HAZZ_20220427155243_0_L050P_resize.bmp,JI13,2373,3387,N
4/27/2022,D29B9AB,612D29,612D29B9A,D85Q133L72,T850MVR05,T850MVR05-1/K1,L128 Mura,3.2,612D29B9ABZZ_20220427142454_0_L050P_resize.bmp,JI13,2458,2067,N
4/27/2022,D3232MB,612D32,612D3232M,D85Q133QBF,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,612D3232MBZZ_20220427053021_0_L050P_resize.bmp,JI13,2550,230,N
4/27/2022,D3380CB,6A2D33,6A2D3380C,D85Q133VKU,T850MVR05,T850MVR05-1/K1,L128 Mura,2.9,6A2D3380CBZZ_20220427083648_0_L050P_resize.bmp,JI13,2535,2557,N
4/28/2022,D32Q9MA,612D32,612D32Q9M,D85Q133QF0,T850MVR05,T850MVR05-1/K1,L128 Mura,2.7,612D32Q9MAZZ_20220428090622_0_L050P_resize.bmp,JI06,3415,1861,P
4/28/2022,D3376VA,6A2D33,6A2D3376V,D85Q133U2T,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,6A2D3376VAZZ_20220428091603_0_L050P_resize.bmp,JI13,2491,3463,N
5/14/2022,D3402BA,6A2D34,6A2D3402B,D85Q142U59,T850MVR05,T850MVR05-5/S0,L128 Mura,2.8,6A2D3402BAZZ_20220514114948_0_L050P_resize.bmp,JI13,2387,1673,N
5/14/2022,D83431B,611D83,611D83431,D85Q182GSQ,T850MVR05,T850MVR05-1/K0,L128 Mura,,611D83431BZZ_20220514233851_0_L050P_resize.bmp,JI13,2529,1667,P
5/15/2022,D33Y5KB,6A2D33,6A2D33Y5K,D85Q152L0E,T850MVR05,T850MVR05-1/K1,L128 Mura,2.6,6A2D33Y5KBZZ_20220515203744_0_L050P_resize.bmp,JI13,2513,2084,P
5/15/2022,D4EJ9MA,6A2D4E,6A2D4EJ9M,D85Q142WYE,T850MVR05,T850MVR05-1/K1,L128 Mura,,6A2D4EJ9MAZZ_20220515093613_0_L050P_resize.bmp,JI13,2405,3769,N
5/15/2022,D4FN9TA,6A2D4F,6A2D4FN9T,D85Q142WWC,T850MVR05,T850MVR05-1/K1,L128 Mura,,6A2D4FN9TAZZ_20220515135933_0_L050P_resize.bmp,JI13,2402,3455,P
5/15/2022,D4FP4HA,6A2D4F,6A2D4FP4H,D85Q152JXN,T850MVR05,T850MVR05-1/K1,L128 Mura,3.2,6A2D4FP4HAZZ_20220515214255_0_L050P_resize.bmp,JI13,2360,2775,N
5/15/2022,D4FQ1JA,6A2D4F,6A2D4FQ1J,D85Q142W9F,T850MVR05,T850MVR05-1/K1,L128 Mura,,6A2D4FQ1JAZZ_20220515111415_0_L050P_resize.bmp,JI13,2435,3864,P
5/15/2022,D4GP9QA,6A2D4G,6A2D4GP9Q,D85Q142W63,T850MVR05,T850MVR05-1/K1,L128 Mura,,6A2D4GP9QAZZ_20220515155246_0_L050P_resize.bmp,JI13,2440,2674,N
5/16/2022,D4GE4CB,6A2D4G,6A2D4GE4C,D85Q152L5X,T850MVR05,T850MVR05-1/K1,L128 Mura,2.4,6A2D4GE4CBZZ_20220516061444_0_L050P_resize.bmp,JI13,2560,2274,P
5/16/2022,D4GP5BB,6A2D4G,6A2D4GP5B,D85Q152K0Y,T850MVR05,T850MVR05-1/K1,L128 Mura,2.4,6A2D4GP5BBZZ_20220516022546_0_L050P_resize.bmp,JI13,2541,2346,P
5/17/2022,D4EJ3SA,6A2D4E,6A2D4EJ3S,D85Q152U0M,T850MVR05,T850MVR05-1/K1,L128 Mura,3,6A2D4EJ3SAZZ_20220517073337_0_L050P_resize.bmp,JI13,2488,1107,N
5/17/2022,D4FP4XB,6A2D4F,6A2D4FP4X,D85Q152L2V,T850MVR05,T850MVR05-1/K1,L128 Mura,2.7,6A2D4FP4XBZZ_20220517202626_0_L050P_resize.bmp,JI09,2338,2372,P
5/17/2022,D4HJ2RA,5F2D4H,5F2D4HJ2R,D85Q152UJ8,T850MVR05,T850MVR05-1/K1,L128 Mura,2.6,5F2D4HJ2RAZZ_20220517200614_0_L050P_resize.bmp,JI13,2376,4285,P
5/18/2022,D4EJ5YA,6A2D4E,6A2D4EJ5Y,D85Q152V5X,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,6A2D4EJ5YAZZ_20220518001511_0_L050P_resize.bmp,JI13,2435,4309,N
5/18/2022,D4EY7HA,6A2D4E,6A2D4EY7H,D85Q152VP6,T850MVR05,T850MVR05-1/K1,L128 Mura,2.6,6A2D4EY7HAZZ_20220518181845_0_L050P_resize.bmp,JI13,2388,3276,P
5/18/2022,D4GE4SA,6A2D4G,6A2D4GE4S,D85Q152JZH,T850MVR05,T850MVR05-1/K1,L128 Mura,2.4,6A2D4GE4SAZZ_20220518132206_0_L050P_resize.bmp,JI13,2521,4028,P
5/18/2022,D4JA1TA,5F2D4J,5F2D4JA1T,D85Q152L4Q,T850MVR05,T850MVR05-1/K1,L128 Mura,2.7,5F2D4JA1TAZZ_20220518000922_0_L050P_resize.bmp,JI13,2358,1958,P
5/21/2022,D4FN9DA,6A2D4F,6A2D4FN9D,D85Q152KYM,T850MVR05,T850MVR05-1/K1,L128 Mura,2.8,6A2D4FN9DAZZ_20220521145051_0_L050P_resize.bmp,JI13,2395,3936,N
5/21/2022,D4FP4HA,6A2D4F,6A2D4FP4H,D85Q152JXN,T850MVR05,T850MVR05-1/K1,L128 Mura,3.2,6A2D4FP4HAZZ_20220521154220_0_L050P_resize.bmp,JI13,2360,2775,N
5/21/2022,D4G31XB,6A2D4G,6A2D4G31X,D85Q152JY0,T850MVR05,T850MVR05-1/K1,L128 Mura,,6A2D4G31XBZZ_20220521113707_0_L050P_resize.bmp,JI13,2524,2305,N
5/21/2022,D4G34NB,6A2D4G,6A2D4G34N,D85Q152KTX,T850MVR05,T850MVR05-1/K1,L128 Mura,2.9,6A2D4G34NBZZ_20220521171056_0_L050P_resize.bmp,JI13,2468,878,N
5/21/2022,D4GP9QA,6A2D4G,6A2D4GP9Q,D85Q142W63,T850MVR05,T850MVR05-1/K1,L128 Mura,,6A2D4GP9QAZZ_20220521153216_0_L050P_resize.bmp,JI13,2440,2674,N
5/25/2022,D4EJ3SA,6A2D4E,6A2D4EJ3S,D85Q152U0M,T850MVR05,T850MVR05-1/K1,L128 Mura,3,6A2D4EJ3SAZZ_20220525085046_0_L050P_resize.bmp,JI13,2488,1107,N
5/25/2022,D4EJ9MA,6A2D4E,6A2D4EJ9M,D85Q142WYE,T850MVR05,T850MVR05-1/K1,L128 Mura,,6A2D4EJ9MAZZ_20220525205206_0_L050P_resize.bmp,JI13,2405,3769,N
4/1/2022,D2702PA,7C2D27,7C2D2702P,D85Q123M3E,T850QVN03,T850QVN03-4/K1,L128 Mura,2.4,7C2D2702PAZZ_20220401054620_0_L050P_resize.bmp,JI15,1253,174,P
4/1/2022,D35A6QA,7C2D35,7C2D35A6Q,D85Q1339SF,T850QVN03,T850QVN03-4/K1,L128 Mura,2.5,7C2D35A6QAZZ_20220401112536_0_L050P_resize.bmp,JI15,1252,181,P
4/1/2022,D35T81B,7A2D35,7A2D35T81,D85Q133EH7,T850QVN03,T850QVN03-G/S1,L128 Mura,2.6,7A2D35T81BZZ_20220401104625_0_L050P_resize.bmp,JI16,1261,1876,P
4/1/2022,D36G3PA,7C2D36,7C2D36G3P,D85Q133KP9,T850QVN03,T850QVN03-G/S1,L128 Mura,2.6,7C2D36G3PAZZ_20220401173046_0_L050P_resize.bmp,JI16,2995,895,P
4/1/2022,D36X6HB,7C2D36,7C2D36X6H,D85Q133GU0,T850QVN03,T850QVN03-G/S1,L128 Mura,2.6,7C2D36X6HBZZ_20220401224033_0_L050P_resize.bmp,JI16,1280,2102,P
4/1/2022,K67U3TC,Q21K67,Q21K67U3T,K85Q06080Z,T850QVN03,T850QVN03-H/K0,L128 Mura,2.5,Q21K67U3TCZZ_20220401211721_0_L050P_resize.bmp,JI15,1270,822,P
4/2/2022,D37E4BB,7C2D37,7C2D37E4B,D85Q133NFT,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7C2D37E4BBZZ_20220402065558_0_L050P_resize.bmp,JI16,1259,2085,P
4/3/2022,D3607ZB,7C2D36,7C2D3607Z,D85Q133NHD,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7C2D3607ZBZZ_20220403200934_0_L050P_resize.bmp,JI16,1975,970,P
4/3/2022,D37F7EB,7A2D37,7A2D37F7E,D85Q133M42,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7A2D37F7EBZZ_20220403092214_0_L050P_resize.bmp,JI16,3208,2013,P
4/3/2022,D38M8XA,7A2D38,7A2D38M8X,D85Q133RMM,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7A2D38M8XAZZ_20220403111810_0_L050P_resize.bmp,JI16,1381,1957,P
4/4/2022,D27C9ZB,7C2D27,7C2D27C9Z,D85Q123PZC,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7C2D27C9ZBZZ_20220404171914_0_L050P_resize.bmp,JI16,1276,51,P
4/8/2022,D2916EB,7C2D29,7C2D2916E,D85Q132WUP,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7C2D2916EBZZ_20220408012747_0_L050P_resize.bmp,JI16,1261,1777,P
4/8/2022,D30D0KB,7A2D30,7A2D30D0K,D85Q123SXB,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7A2D30D0KBZZ_20220408233553_0_L050P_resize.bmp,JI16,1916,899,P
4/9/2022,D2941VA,7C2D29,7C2D2941V,D85Q132XTH,T850QVN03,T850QVN03-J/S0,L128 Mura,2.7,7C2D2941VAZZ_20220409111007_0_L050P_resize.bmp,JI16,1264,20,P
4/18/2022,D3993HA,7C2D39,7C2D3993H,D85Q133US5,T850QVN03,T850QVN03-0/K1,L128 Mura,3.5,7C2D3993HAZZ_20220418115952_0_L050P_resize.bmp,JI16,1270,1023,N
4/18/2022,D39R0XA,7C2D39,7C2D39R0X,D85Q133PT8,T850QVN03,T850QVN03-0/K1,L128 Mura,2.4,7C2D39R0XAZZ_20220418104921_0_L050P_resize.bmp,JI16,1261,252,P
4/19/2022,D35Q6ZB,7C2D35,7C2D35Q6Z,K83Q0304LQ,T850QVN03,T850QVN03-0/K1,L128 Mura,2.4,7C2D35Q6ZBZZ_20220419084510_0_L050P_resize.bmp,JI16,1263,2109,P
4/22/2022,D4B22UA,7A2D4B,7A2D4B22U,D85Q14308X,T850QVN03,T850QVN03-N/K0,L128 Mura,2.4,7A2D4B22UAZZ_20220422055601_0_L050P_resize.bmp,JI15,1253,2054,P
4/23/2022,D4AT5NB,7A2D4A,7A2D4AT5N,D85Q142XYY,T850QVN03,T850QVN03-N/K0,L128 Mura,2.5,7A2D4AT5NBZZ_20220423105753_0_L050P_resize.bmp,JI15,1263,1390,P
4/25/2022,D4EV4MB,7C2D4E,7C2D4EV4M,D85Q1439DF,T850QVN03,T850QVN03-F/K0,L128 Mura,2.5,7C2D4EV4MBZZ_20220425203237_0_L050P_resize.bmp,JI15,1268,1790,P
4/26/2022,D4G90HA,7C2D4G,7C2D4G90H,D85Q143ACS,T850QVN03,T850QVN03-F/K0,L128 Mura,2.6,7C2D4G90HAZZ_20220426043700_0_L050P_resize.bmp,JI15,1251,1292,P
4/27/2022,D3285GA,7A2D32,7A2D3285G,D85Q132XVN,T850QVN03,T850QVN03-K/S0,L128 Mura,2.6,7A2D3285GAZZ_20220427212115_0_L050P_resize.bmp,JI16,1874,618,P
4/28/2022,D3140YA,7C2D31,7C2D3140Y,K83Q0203VD,T850QVN03,T850QVN03-K/S0,L128 Mura,2.7,7C2D3140YAZZ_20220428230424_0_L050P_resize.bmp,JI16,2118,1215,P
4/28/2022,D3340EA,UN2D33,UN2D3340E,D85Q1336S4,T850QVN03,T850QVN03-K/S0,L128 Mura,2.6,UN2D3340EAZZ_20220428154123_0_L050P_resize.bmp,JI16,1257,62,P
4/28/2022,D34G9SB,7A2D34,7A2D34G9S,D85Q133W6T,T850QVN03,T850QVN03-K/S0,L128 Mura,2.6,7A2D34G9SBZZ_20220428142756_0_L050P_resize.bmp,JI16,1261,1638,P
4/28/2022,D3925RA,UN2D39,UN2D3925R,K83Q0305C3,T850QVN03,T850QVN03-K/S0,L128 Mura,2.6,UN2D3925RAZZ_20220428143326_0_L050P_resize.bmp,JI16,1595,1984,P
4/28/2022,D3993HA,7C2D39,7C2D3993H,D85Q133US5,T850QVN03,T850QVN03-0/K1,L128 Mura,3.5,7C2D3993HAZZ_20220428174646_0_L050P_resize.bmp,JI16,1270,1023,N
4/28/2022,D4GA0UB,7H2D4G,7H2D4GA0U,D85Q143FK0,T850QVN03,T850QVN03-F/K0,L128 Mura,2.5,7H2D4GA0UBZZ_20220428131222_0_L050P_resize.bmp,JI15,1268,92,P
4/29/2022,D32L5MB,7C2D32,7C2D32L5M,K83Q0301G9,T850QVN03,T850QVN03-K/S0,L128 Mura,2.6,7C2D32L5MBZZ_20220429144404_0_L050P_resize.bmp,JI16,3233,873,P
4/29/2022,D32P01A,7C2D32,7C2D32P01,D85Q133B5D,T850QVN03,T850QVN03-K/S0,L128 Mura,2.6,7C2D32P01AZZ_20220429045047_0_L050P_resize.bmp,JI16,2514,1948,P
4/29/2022,D34E8LA,7A2D34,7A2D34E8L,D85Q133DUV,T850QVN03,T850QVN03-K/S0,L128 Mura,2.6,7A2D34E8LAZZ_20220429091440_0_L050P_resize.bmp,JI16,1561,90,P
4/29/2022,D38U0BA,7C2D38,7C2D38U0B,D85Q133S0N,T850QVN03,T850QVN03-K/S0,L128 Mura,2.6,7C2D38U0BAZZ_20220429171532_0_L050P_resize.bmp,JI16,1280,2118,P
4/30/2022,D3723SA,7A2D37,7A2D3723S,D85Q133SVT,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7A2D3723SAZZ_20220430221559_0_L050P_resize.bmp,JI16,1821,1503,P
4/30/2022,D38A7EB,7C2D38,7C2D38A7E,K83Q03046S,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7C2D38A7EBZZ_20220430224929_0_L050P_resize.bmp,JI16,3135,793,P
4/30/2022,D3971AA,7C2D39,7C2D3971A,D85Q133UZ8,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7C2D3971AAZZ_20220430234259_0_L050P_resize.bmp,JI16,1635,632,P
5/3/2022,D4A81RB,7A2D4A,7A2D4A81R,K83Q0305LX,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7A2D4A81RBZZ_20220503161843_0_L050P_resize.bmp,JI16,1346,1998,P
5/3/2022,D4EB1AB,7H2D4E,7H2D4EB1A,D85Q1438UR,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7H2D4EB1ABZZ_20220503090327_0_L050P_resize.bmp,JI16,1268,2160,P
5/3/2022,D4HQ3VB,7A2D4H,7A2D4HQ3V,K83Q0401WX,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7A2D4HQ3VBZZ_20220503105343_0_L050P_resize.bmp,JI16,1253,1656,P
5/4/2022,D4E23FA,7C2D4E,7C2D4E23F,D85Q1435JB,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7C2D4E23FAZZ_20220504082708_0_L050P_resize.bmp,JI16,1821,1354,P
5/4/2022,D4E81EB,UN2D4E,UN2D4E81E,D85Q1436LG,T850QVN03,T850QVN03-L/S0,L128 Mura,2.7,UN2D4E81EBZZ_20220504213809_0_L050P_resize.bmp,JI16,1260,2081,P
5/4/2022,D4F80MB,7H2D4F,7H2D4F80M,D85Q1437ZY,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7H2D4F80MBZZ_20220504060009_0_L050P_resize.bmp,JI16,1728,1507,P
5/5/2022,D39R2CA,7C2D39,7C2D39R2C,K83Q0304ZZ,T850QVN03,T850QVN03-L/S0,L128 Mura,2.8,7C2D39R2CAZZ_20220505084711_0_L050P_resize.bmp,JI16,1915,1316,N
5/5/2022,D4CE9WA,7C2D4C,7C2D4CE9W,D85Q143935,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7C2D4CE9WAZZ_20220505061019_0_L050P_resize.bmp,JI16,1266,2143,P
5/5/2022,D4F51JB,7C2D4F,7C2D4F51J,D85Q1437UU,T850QVN03,T850QVN03-L/S0,L128 Mura,2.6,7C2D4F51JBZZ_20220505144904_0_L050P_resize.bmp,JI16,1688,1434,P
5/7/2022,D4J50WA,7H2D4J,7H2D4J50W,D85Q143H8V,T850QVN03,T850QVN03-F/K0,L128 Mura,2.5,7H2D4J50WAZZ_20220507222801_0_L050P_resize.bmp,JI16,3461,217,P
5/10/2022,D3728QB,7A2D37,7A2D3728Q,K83Q0401WT,T850QVN03,T850QVN03-F/K0,L128 Mura,2.5,7A2D3728QBZZ_20220510074553_0_L050P_resize.bmp,JI16,1835,1303,P
5/10/2022,D4G19HB,7C2D4G,7C2D4G19H,K83Q0402H9,T850QVN03,T850QVN03-F/K0,L128 Mura,2.4,7C2D4G19HBZZ_20220510202909_0_L050P_resize.bmp,JI16,1915,1495,P
5/10/2022,D4GN5RA,7C2D4G,7C2D4GN5R,D85Q143LPR,T850QVN03,T850QVN03-F/K0,L128 Mura,2.5,7C2D4GN5RAZZ_20220510133949_0_L050P_resize.bmp,JI16,1921,795,P
5/10/2022,D4GQ7EB,7C2D4G,7C2D4GQ7E,K83Q0402GA,T850QVN03,T850QVN03-F/K0,L128 Mura,2.4,7C2D4GQ7EBZZ_20220510232324_0_L050P_resize.bmp,JI16,3015,1391,P
5/10/2022,D4H81ZB,7C2D4H,7C2D4H81Z,K83Q0402EP,T850QVN03,T850QVN03-F/K0,L128 Mura,2.4,7C2D4H81ZBZZ_20220510074939_0_L050P_resize.bmp,JI16,2175,1339,P
5/10/2022,D4HL4NA,7C2D4H,7C2D4HL4N,D85Q143HP1,T850QVN03,T850QVN03-F/K0,L128 Mura,2.4,7C2D4HL4NAZZ_20220510090529_0_L050P_resize.bmp,JI16,1715,1318,P
5/11/2022,DCHK0NA,CC1DCH,CC1DCHK0N,D85Q1122DZ,T850QVN03,T850QVN03-4/H2,L128 Mura,2.6,CC1DCHK0NAZZ_20220511034231_0_L050P_resize.bmp,JI16,1881,1126,P
5/13/2022,D4KW2AB,7C2D4K,7C2D4KW2A,D85Q152M5T,T850QVN03,T850QVN03-0/K1,L128 Mura,2.4,7C2D4KW2ABZZ_20220513070237_0_L050P_resize.bmp,JI16,1835,1504,P
5/14/2022,D39R2CA,7C2D39,7C2D39R2C,K83Q0304ZZ,T850QVN03,T850QVN03-L/S0,L128 Mura,2.8,7C2D39R2CAZZ_20220514203306_0_L050P_resize.bmp,JI16,1915,1316,N
5/16/2022,D50W8TB,UN2D50,UN2D50W8T,D85Q152PW9,T850QVN03,T850QVN03-0/K1,L128 Mura,2.4,UN2D50W8TBZZ_20220516012811_0_L050P_resize.bmp,JI16,1253,1612,P
5/19/2022,D26F3GA,7A2D26,7A2D26F3G,D85Q123GWH,T850QVN03,T850QVN03-E/K1,L128 Mura,2.4,7A2D26F3GAZZ_20220519090801_0_L050P_resize.bmp,JI16,1946,187,P
5/20/2022,D52L4WB,UN2D52,UN2D52L4W,D85Q152WD3,T850QVN03,T850QVN03-F/K0,L128 Mura,2.4,UN2D52L4WBZZ_20220520181432_0_L050P_resize.bmp,JI13,1260,864,P
5/21/2022,D32Y2RB,7A2D32,7A2D32Y2R,D85Q1335YT,T850QVN03,T850QVN03-J/S0,L128 Mura,2.9,7A2D32Y2RBZZ_20220521224705_0_L050P_resize.bmp,JI16,2701,1085,N
5/21/2022,D52B2AA,7C2D52,7C2D52B2A,D85Q1530PV,T850QVN03,T850QVN03-F/K0,L128 Mura,2.5,7C2D52B2AAZZ_20220521140001_0_L050P_resize.bmp,JI13,1258,2022,P
5/22/2022,D4EQ0HA,7H2D4E,7H2D4EQ0H,D85Q14397Q,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7H2D4EQ0HAZZ_20220522064420_0_L050P_resize.bmp,JI16,1257,2147,P
5/22/2022,D4J16BA,7C2D4J,7C2D4J16B,D85Q143JQC,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7C2D4J16BAZZ_20220522134034_0_L050P_resize.bmp,JI16,1261,2140,P
5/22/2022,D52K6RA,7C2D52,7C2D52K6R,D85Q152Z43,T850QVN03,T850QVN03-F/K0,L128 Mura,2.4,7C2D52K6RAZZ_20220522230445_0_L050P_resize.bmp,JI13,1268,893,P
5/23/2022,D3907SA,7H2D39,7H2D3907S,D85Q142WG6,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7H2D3907SAZZ_20220523134606_0_L050P_resize.bmp,JI16,1991,718,P
5/23/2022,D4D55TB,7C2D4D,7C2D4D55T,K83Q04008J,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7C2D4D55TBZZ_20220523224844_0_L050P_resize.bmp,JI16,3495,1396,P
5/23/2022,D4DC4MA,7H2D4D,7H2D4DC4M,K83Q0400R4,T850QVN03,T850QVN03-J/S0,L128 Mura,2.8,7H2D4DC4MAZZ_20220523225911_0_L050P_resize.bmp,JI16,3341,1364,N
5/23/2022,D4EN8PA,7C2D4E,7C2D4EN8P,D85Q143ALT,T850QVN03,T850QVN03-J/S0,L128 Mura,2.6,7C2D4EN8PAZZ_20220523061834_0_L050P_resize.bmp,JI16,1693,1426,P
5/23/2022,D4FF9CA,7C2D4F,7C2D4FF9C,D85Q1435T8,T850QVN03,T850QVN03-J/S0,L128 Mura,2.8,7C2D4FF9CAZZ_20220523041550_0_L050P_resize.bmp,JI16,3604,1332,N
